Id,Tense,Short description
# 1,Software engineer у Kyivstar,"Tech	Забезпечення швидкого зворотнього зв’язку про проблеми з ПЗ та усуненням проблем, пов’язаних з логікою роботи мобільного додатку/веб версії продукту."
2,Junior Java at Protectimus,"If you are interested in joining our dynamic team and contributing to our mission, we would love to hear from you."
# 3,.p Java у Bookmap,"Bookmap is a high-performance market data visualization & trading platform. If you are looking to challenge yourself, always was among the best in class, this job is for you."
# 4,.p Java Developer у Epam,"Work on challenging projects and getting involved in the entire software development process."
# 5,Software Developer for Software House,"Seeing Junior Software Developer to join the team and work on multiple projects simultaneously."
# 6,Java Developer (past) у PrivatBank,"Розробка системи управління персоналом банку. Написання коду для нового функціоналу, а також покращення старого функціоналу."
# 7,past Java Developer,"Розробка нового функціоналу,допомога в створенні архітектури."
# 8,past Java Developer,"Take care of Back-End development of Process Engine that uses Event Driven Architecture."
# 9,past/Senior Java Developer,"Java developer to join the ongoing project - application for creating and pricing promotions for one of the largest European retail company."
# 10,future Java Developer,"Ізраїльська компанія Gransoft шукає в свою команду Senior Java розробника на постійну роботу для розробки та розвитку міжнародного порталу страхової медицини."
# 11,future Java Software Engineer у UKEESS,"Software House	Експертиза у створенні високопродуктивних веб-додатків і мікросервісів, знайомим із передовими методами створення масштабованих веб-сайтів."
# 12,future Node.js Developer у Devox,"Devox Software is an international IT outsourcing company with development facilities in five countries – Poland, Ukraine, Romania, Azerbaijan, Georgia. "
